Year,Team,NextYearsWins,Wins,OffTotYds,OffTotPlays,OffTotYdsperPly,OffTot1stDwns,OffPass1stDwns,OffRush1stDwns,OffTotTurnovers,OffFumblesLost,Off1stDwnsbyPenalty,OffPassComp,OffPassComp1,OffPassYds,OffPassTds,OffPassINTs,OffPassINT,OffPassLongest,OffPassYdsperAtt,OffPassAdjYdsperAtt,OffPassYdsperComp,OffPassYdsperGame,OffPasserRating,OffPassSacksAlwd,OffPassSackYds,OffPassNetYdsperAtt,OffPassAdjNetYdsperAtt,OffPassSack,OffGameWinningDrives,OffRushYds,OffRushTds,OffRushLongest,OffRushYdsperAtt,OffRushYdsperGame,OffFumbles,OffPuntReturns,OffPRYds,OffPRTds,OffPRLongest,OffPRYdsperAtt,OffKickReturns,OffKRYds,OffKRTds,OffKRLongest,OffKRYdsperAtt,OffAllPurposeYds,X119ydFGAtt,X119ydFGMade,X2029ydFGAtt,X2029ydFGMade,X129ydFG,X3039ydFGAtt,X3039ydFGMade,X3039ydFG,X4049ydFGAtt,X4049ydFGMade,X50ydFGAtt,X50ydFGMade,X40ydFG,TotalFGAtt,OffTotFGMade,OffTotFG,OffXPAtt,OffXPMade,OffXP,OffTimesPunted,OffPuntYards,OffLongestPunt,OffTimesHadPuntBlocked,OffYardsPerPunt,FmblTds,DefINTTdsScored,BlockedKickorMissedFGRetTds,TotalTdsScored,Off2ptConvMade,DefSafetiesScored,DefTotYdsAlwd,DefTotPlaysAlwd,DefTotYdsperPlayAlwd,DefTot1stDwnsAlwd,DefPass1stDwnsAlwd,DefRush1stDwnsAlwd,DefTurnoversCreated,DefFumblesRecovered,Def1stDwnsAlwdbyPenalty,DefPassCompAlwd,DefPassAttAlwd,DefPassCompAlwd,DefPassYdsAlwd,DefPassTdsAlwd,DefPassTDAlwd,DefPassINTs,DefPassINT,DefPassYdsperAttAlwd,DefPassAdjYdsperAttAlwd,DefPassYdsperCompAlwd,DefPassYdsperGameAlwd,DefPasserRatingAlwd,DefPassSacks,DefPassSackYds,DefPassNetYdsperAttAlwd,DefPassAdjNetYdsperAttAlwd,DefPassSack,DefRushYdsAlwd,DefRushTdsAlwd,DefRushYdsperAttAlwd,DefRushYdsperGameAlwd,DefPuntReturnsAlwd,DefPRTdsAlwd,DefKickReturnsAlwd,DefKRYdsAlwd,DefKRTdsAlwd,DefKRYdsperAttAlwd,DefTotFGAttAlwd,DefTotFGMadeAlwd,DefTotFGAlwd,DefXPAttAlwd,DefXPMadeAlwd,DefXPAlwd,DefPuntsAlwd,DefPuntYdsAlwd,DefPuntYdsperAttAlwd,Def2ptConvAlwd,OffSafeties,OffRushSuccessRate,HeadCoachDisturbance,QBDisturbance,RBDisturbance,OffRunPassRatio,OffPassPly,OffRunPly,OffYdsPt,DefYdsPt,OffPassDroprate,DefPassDropRate
2009,Cleveland,5,5,41.63,971,4.3,237,118,102,31,13,17,219,49.4,2076,11,18,4.1,59,5.1,3.8,10.3,129.8,55.8,30,179,4.4,3.1,6.3,2,2087,10,71,4.2,130.4,21,39,456,1,67,11.7,69,1670,3,103,24.2,6289,1,1,11,11,1,6,6,1,6,5,1,0,0.71428571,25,23,0.92,23,22,0.957,94,3977,60,0,42.3,0,0,0,25,1,1,6229,1072,5.8,336,189,120,19,9,27,313,526,59.5,3915,22,4.2,10,1.9,7.9,7.9,13.3,244.7,90.6,40,234,6.9,6.9,7.1,2314,15,4.6,144.6,40,0,52,984,0,18.9,36,30,0.833,41,39,0.951,77,3319,43.1,0,0,0.44612069,No,Yes,Yes,1.05285412,0.48712667,0.51287333,16.9918367,16.6106667,8.88382688,6.61478599
2010,Cleveland,4,5,46.35,927,5,265,154,87,29,11,24,296,61.9,2989,13,18,3.8,65,6.7,5.6,10.8,186.8,75,36,214,5.8,4.7,7,2,1646,13,68,4,102.9,29,22,235,0,62,10.7,70,1191,0,37,17,6061,3,3,7,7,1,10,10,1,5,3,3,0,0.375,28,23,0.821,28,28,1,78,3424,59,0,43.9,1,2,0,29,0,0,5601,1041,5.4,317,195,102,28,9,20,309,507,60.9,3531,26,5.1,19,3.7,7.3,6.7,12,220.7,84.8,29,178,6.6,6,5.4,2070,7,4.1,129.4,40,0,54,959,0,17.8,36,27,0.75,35,35,1,64,2816,44,0,0,0.48342541,Yes,No,No,0.80350195,0.55447681,0.44552319,17.103321,16.8704819,4.69083156,3.37972167
2011,Cleveland,5,4,46.21,1024,4.5,278,173,77,19,6,28,320,56.1,3090,16,13,2.3,76,5.8,5.3,10.3,193.1,72.8,39,210,5.1,4.6,6.4,3,1531,4,40,3.7,95.7,22,38,423,1,84,11.1,48,1134,0,63,23.6,6388,0,0,9,7,0.77777778,4,3,0.75,8,7,8,7,0.875,29,24,0.828,20,20,1,89,3570,63,0,40.1,0,0,0,21,0,0,5318,1035,5.1,301,149,124,20,11,28,265,469,56.5,2959,16,3.4,9,1.9,6.7,6.6,11.9,184.9,80.6,32,199,5.9,5.7,6.4,2359,12,4.4,147.4,26,1,46,1055,1,22.9,34,30,0.882,31,31,1,76,0,0,0,0,0.47246377,No,Yes,Yes,0.68144499,0.59472656,0.40527344,21.1972477,17.3224756,7.63765542,5.79399142
2012,Cleveland,NA,5,50.28,998,5,279,185,71,26,8,23,328,58,3435,16,18,3.2,71,6.5,5.6,11.2,214.7,73.5,36,233,5.7,4.9,6,1,1593,12,35,4,99.6,22,41,606,1,93,14.8,50,1269,0,74,25.4,7136,0,0,9,8,0.88888889,9,8,0.88888889,6,6,7,7,1,31,29,0.935,29,29,1,90,3766,58,0,41.8,0,2,0,31,0,0,5821,1095,5.3,345,203,104,29,12,38,378,600,63,3923,27,4.5,17,2.8,6.9,6.6,11,245.2,86.6,38,233,6.1,5.8,6,1898,14,4.2,118.6,34,1,43,853,0,19.8,24,20,0.833,42,42,1,88,0,0,0,0,0.43502825,Yes,No,?,0.65780731,0.60320641,0.39679359,16.6490066,15.8179348,5.69395018,4.2158516
2002,Dallas,10,5,43.75,948,4.6,237,129,87,34,18,21,252,53.5,2621,14,16,3.4,80,6.4,5.5,12,163.8,69.1,54,399,5,4.2,10.3,3,1754,7,46,4.1,109.6,33,39,325,0,71,8.3,68,1521,2,100,22.4,6221,0,0,3,3,1,7,5,0.71428571,8,4,1,0,0.44444444,19,12,0.632,25,25,1,113,4609,60,1,40.8,0,3,0,26,0,0,5267,1079,4.9,291,178,90,30,11,23,334,574,58.2,3449,22,3.8,19,3.3,6.2,5.5,10.7,215.6,75.6,24,137,5.8,5.1,4,1818,10,3.8,113.6,58,0,48,1095,0,22.8,38,27,0.711,35,34,0.971,94,3892,41.4,0,2,0.42349727,Yes,Yes,Yes,0.80571429,0.55379747,0.44620253,20.1612903,16.0091185,6.2639821,5.22522523
2003,Dallas,6,10,51.61,1062,4.9,286,149,115,29,8,22,294,57.6,3162,17,21,4.1,64,6.6,5.4,11.4,197.6,71.4,37,185,5.8,4.7,6.8,2,1999,11,63,3.9,124.9,26,51,390,0,46,7.6,60,1292,1,54,21.5,6843,0,0,11,11,1,6,5,0.83333333,7,4,5,3,0.58333333,29,23,0.793,31,30,0.968,95,3697,59,0,38.9,0,2,0,31,0,2,4056,937,4.3,228,127,68,25,12,33,239,492,48.6,2631,18,3.7,13,2.6,5.7,5.3,11.8,164.4,67.6,32,189,5,4.6,6.1,1690,13,4,105.6,34,0,66,1448,0,21.9,23,21,0.913,26,23,0.885,105,4473,42.6,2,1,0.43577982,No,Yes,Yes,0.94149909,0.51506591,0.48493409,17.8581315,15.6,6.4516129,5.85774059
2004,Dallas,9,6,51.97,1004,5.2,296,171,101,37,14,24,308,59.3,3428,19,23,4.4,53,7,5.7,11.8,214.3,74.5,36,208,6.2,5,6.5,3,1769,14,53,3.9,110.6,26,44,390,0,55,8.9,78,1603,0,62,20.6,7190,1,1,6,6,1,4,4,1,13,9,2,0,0.6,26,20,0.769,31,31,1,76,3216,68,0,42.3,0,0,0,33,1,1,5285,960,5.5,297,180,88,22,9,29,310,502,61.8,3521,31,6.2,13,2.6,7.4,7.5,12,220.1,94.2,33,197,6.6,6.6,6.2,1764,14,4.2,110.3,39,0,62,1083,0,17.5,23,21,0.913,45,44,0.978,78,3260,41.8,2,0,0.42822967,No,Yes,No,0.80900901,0.55278884,0.44721116,17.7372014,13.0493827,4.75247525,6.28803245
2005,Dallas,9,9,52.02,1071,4.9,318,177,97,31,14,44,300,60,3341,23,17,3.4,71,7.3,6.7,12.1,208.8,83.6,50,298,6.1,5.5,9.1,5,1861,13,51,3.6,116.3,36,45,284,0,26,6.3,64,1523,0,49,23.8,7009,1,1,10,9,0.90909091,9,6,0.66666667,7,3,1,1,0.5,28,20,0.714,36,35,0.972,82,3474,63,0,42.4,0,2,0,38,1,0,4814,946,5.1,256,150,87,26,11,19,271,495,54.7,3083,18,3.6,15,3,6.7,6.1,12.2,192.7,75.1,37,236,5.8,5.2,7,1731,13,4.2,108.2,33,0,66,1432,0,21.7,27,21,0.778,35,35,1,95,3895,41,0,0,0.39203354,No,Yes,No,0.94727273,0.51353875,0.48646125,16.0061538,15.6298701,4.16666667,4.63157895
2006,Dallas,13,9,57.72,1015,5.7,336,197,107,30,9,32,310,61.3,3836,26,21,4.2,56,8,7.2,13.1,239.8,86.5,37,231,7.1,6.3,6.8,3,1936,21,77,4.1,121,21,40,335,1,56,8.4,64,1493,0,41,23.3,7600,0,0,8,7,0.875,10,8,0.8,9,4,1,1,0.5,28,20,0.714,49,49,1,56,2697,75,0,48.2,1,3,0,52,2,0,5165,974,5.3,294,179,88,31,13,27,301,511,58.9,3506,25,4.9,18,3.5,7.3,6.7,12.4,219.1,83.2,34,223,6.4,5.9,6.2,1659,12,3.9,103.7,31,0,80,1571,1,19.6,25,22,0.88,38,38,1,72,3103,43.1,1,2,0.48356808,Yes,No,Yes,0.86924494,0.53497537,0.46502463,13.5811765,14.7571429,5.66801619,4.87804878
2007,Dallas,9,13,58.51,975,6,322,217,83,24,5,22,342,64.4,4105,36,19,3.6,59,8.1,7.8,12.5,256.6,97.1,25,185,7.4,7.1,4.5,2,1746,14,54,4.2,109.1,21,26,227,0,49,8.7,61,1358,0,72,22.3,7436,0,0,12,10,0.83333333,7,7,1,7,7,5,2,0.75,31,26,0.839,53,53,1,63,2970,64,0,47.1,1,2,1,54,0,0,4922,1008,4.9,304,195,86,29,10,23,342,581,58.9,3409,19,3.3,19,3.3,6.4,5.6,10.9,213.1,75.1,46,319,5.4,4.7,7.3,1513,12,4,94.6,35,1,86,1979,1,23,31,25,0.806,34,34,1,73,3285,45,0,0,0.44197531,No,No,No,0.75359712,0.57025641,0.42974359,12.8593407,15.1446154,5.14285714,3.97111913
2008,Dallas,11,9,55.12,979,5.6,291,171,102,33,13,18,328,60,3789,29,20,3.7,75,7.3,6.7,12.2,236.8,84.9,31,199,6.6,6,5.4,2,1723,12,60,4.3,107.7,29,37,238,0,33,6.4,70,1554,1,98,22.2,7304,0,0,1,1,1,8,7,0.875,11,10,2,2,0.92307692,22,20,0.909,42,42,1,78,3432,70,1,44,0,1,0,43,0,1,4709,969,4.9,276,163,85,22,14,28,308,508,60.6,3003,19,3.7,8,1.6,6.6,6.7,11,187.7,86.2,59,374,5.3,5.3,10.4,1706,11,4.2,106.6,37,0,71,1510,1,21.3,44,38,0.864,33,33,1,74,3278,44.3,2,1,0.44352617,No,No,No,0.69377163,0.59039837,0.40960163,15.2265193,12.9013699,4.6728972,5.61122244
2009,Dallas,6,11,63.9,1020,6.3,335,203,110,19,10,22,347,63.1,4287,26,9,1.6,80,8.2,8.4,12.9,267.9,97.6,34,196,7.3,7.5,5.8,3,2103,14,66,4.8,131.4,20,39,426,2,82,10.9,47,1032,0,41,22,7848,1,1,7,6,0.875,8,6,0.75,13,6,2,1,0.46666667,31,20,0.645,41,41,1,72,3249,63,0,45.1,0,1,0,43,1,0,5054,979,5.2,286,186,74,21,10,26,344,572,60.1,3606,19,3.3,11,1.9,6.8,6.6,11.3,225.4,83.5,42,268,5.9,5.7,6.8,1448,7,4,90.5,38,1,47,967,0,20.6,26,18,0.692,28,28,1,92,4085,44.4,0,0,0.51145038,No,Yes,?,0.74657534,0.57254902,0.42745098,17.700831,20.216,5.893186,5.76576577
2010,Dallas,8,6,58.28,1035,5.6,327,201,104,30,11,22,379,65.8,4042,29,19,3.3,71,7.3,6.8,11.1,252.6,90.4,31,166,6.7,6.2,5.1,3,1786,10,60,4.2,111.6,28,24,382,3,97,15.9,74,1572,0,43,21.2,7782,0,0,8,8,1,7,4,0.57142857,11,8,6,4,0.70588235,32,24,0.75,44,42,0.955,66,3115,65,1,47.2,1,3,0,46,2,0,5628,977,5.8,309,200,84,30,10,25,348,540,64.4,3894,33,6.1,20,3.7,7.7,7.2,11.9,243.4,92.8,35,257,6.8,6.4,6.1,1734,11,4.3,108.4,33,0,56,1363,1,24.3,27,25,0.926,49,49,1,70,3017,43.1,2,0,0.48369565,Yes,Yes,Yes,0.70510708,0.58647343,0.41352657,14.7918782,12.9082569,4.40140845,5.37428023
2011,Dallas,8,8,60.08,1017,5.9,327,219,91,21,9,17,376,66,4201,33,12,2.1,77,7.8,8,11.8,262.6,100.1,39,252,6.9,7.1,6.4,4,1807,5,91,4.4,112.9,24,41,293,0,25,7.1,33,768,0,69,23.3,7321,1,1,9,8,0.9,11,11,1,12,10,4,2,0.75,37,32,0.865,39,39,1,71,3047,68,0,42.9,0,1,0,39,0,0,5491,972,5.6,305,199,78,25,10,28,336,545,61.7,3906,24,4.4,15,2.8,7.6,7.3,12.3,244.1,88.4,42,243,6.7,6.3,7.2,1585,10,4.1,99.1,30,0,52,1114,0,21.4,33,26,0.788,35,35,1,72,0,0,0,1,0.51474531,No,No,No,0.66995074,0.59882006,0.40117994,16.2818428,15.8242075,4.62633452,3.59848485
2012,Dallas,NA,8,59.94,1049,5.7,338,237,76,29,10,25,434,66,4729,29,19,2.9,85,7.6,7.2,11.5,295.6,91.3,36,263,6.8,6.4,5.2,5,1265,8,48,3.6,79.1,20,34,420,1,78,12.4,36,741,0,44,20.6,7418,1,1,5,5,1,13,13,1,7,7,5,3,0.83333333,31,29,0.935,37,37,1,69,3039,64,0,44,2,1,0,41,3,0,5687,986,5.8,317,195,92,16,9,30,320,511,62.6,3684,22,4.3,7,1.4,7.6,7.9,12.2,230.3,94.7,34,211,6.8,7,6.2,2003,17,4.5,125.2,29,1,50,1102,1,22,33,29,0.879,44,43,0.977,74,0,0,0,0,0.5046729,No,No,?,0.51152738,0.66158246,0.33841754,15.9414894,14.2175,5.07692308,6.62650602
2002,Denver,10,9,60.9,1057,5.8,357,199,125,27,7,33,359,64.8,3824,21,20,3.6,82,7.5,6.6,11.5,239,84.8,46,315,6.4,5.6,7.7,1,2266,21,59,5,141.6,21,34,275,0,53,8.1,62,1456,0,56,23.5,7821,1,1,9,9,1,9,7,0.77777778,11,5,6,4,0.52941176,36,26,0.722,43,42,0.977,55,2226,63,2,40.5,1,2,0,45,0,1,4826,985,4.9,298,176,100,22,13,22,360,566,63.6,3337,15,2.7,9,1.6,6.3,6.2,10,208.6,83.7,40,251,5.5,5.3,6.6,1489,21,3.9,93.1,23,0,81,1781,0,22,32,25,0.781,34,33,0.971,77,3149,40.9,1,0,0.57286432,No,Yes,No,0.76166667,0.56764428,0.43235572,15.5357143,14.0290698,6.27306273,5.63636364
2003,Denver,10,10,55.98,1047,5.3,334,162,133,24,6,39,280,58.5,2969,19,18,3.8,72,6.5,5.6,11.2,185.6,75.6,25,157,5.9,5,5,2,2629,20,65,4.8,164.3,24,39,442,2,65,11.3,59,1302,0,83,22.1,7342,0,0,12,11,0.91666667,6,6,1,11,9,3,2,0.78571429,32,28,0.875,41,41,1,70,3023,62,2,43.2,0,1,0,42,1,1,4433,910,4.9,241,141,77,20,11,23,265,495,53.5,2828,17,3.4,9,1.8,6.2,6,11.5,176.8,76.2,36,221,5.3,5.2,6.8,1701,10,4.1,106.3,46,1,73,1679,0,23,28,25,0.893,29,28,0.966,85,3663,43.1,2,1,0.49788136,No,No,Yes,1.07738095,0.48137536,0.51862464,14.6929134,14.7275748,4.56521739,5.60165975
2004,Denver,13,10,63.32,1070,5.9,351,184,127,29,9,40,303,58.2,3999,27,20,3.8,85,7.8,7.2,13.5,249.9,84.5,15,90,7.5,6.8,2.8,4,2333,13,51,4.4,145.8,23,43,400,0,39,9.3,53,1122,0,48,21.2,7854,0,0,10,10,1,8,7,0.875,12,9,4,3,0.75,34,29,0.853,42,42,1,70,2875,66,1,41.1,0,2,0,42,0,0,4459,918,4.9,235,130,83,20,8,22,272,484,56.2,2947,17,3.5,12,2.5,6.6,6.2,11.8,184.2,78,38,266,5.6,5.3,7.3,1512,16,3.8,94.5,32,0,68,1635,1,24,26,21,0.808,32,31,0.969,95,4247,44.7,0,0,0.49673203,No,No,Yes,0.99626866,0.50093458,0.49906542,16.6194226,14.6677632,6.9582505,8.76068376
2005,Denver,9,13,57.66,1030,5.6,330,162,145,16,9,23,279,60,3227,18,7,1.5,72,7.3,7.4,12.1,201.7,88.9,23,146,6.6,6.7,4.7,2,2539,25,68,4.7,158.7,19,33,281,0,52,8.5,47,975,0,36,20.7,7022,0,0,10,9,0.9,5,5,1,13,9,4,1,0.58823529,32,24,0.75,44,43,0.977,73,3201,66,1,43.8,0,3,0,46,1,1,5006,985,5.1,295,183,82,36,16,30,344,613,56.1,3643,20,3.3,20,3.3,6.3,5.4,11.1,227.7,72.2,28,190,5.7,4.9,4.4,1363,10,4,85.2,36,0,67,1696,0,25.3,18,14,0.778,30,30,1,81,3637,44.9,0,0,0.51054852,No,No,Yes,1.11065574,0.47378641,0.52621359,14.5974684,19.4031008,4.3956044,5.35117057
2006,Denver,7,9,49.51,973,5.1,285,151,106,30,12,28,256,56.4,2799,20,18,4,83,6.6,5.7,11.7,174.9,74.7,31,196,5.8,4.9,6.4,3,2152,12,72,4.4,134.5,29,32,294,0,42,9.2,54,1187,0,64,22,6432,0,0,10,10,1,10,10,1,8,6,1,1,0.77777778,29,27,0.931,34,34,1,80,3338,61,0,41.7,0,2,0,34,0,0,5220,1020,5.1,291,183,97,30,13,11,327,538,60.8,3407,13,2.4,17,3.2,6.7,5.8,11,212.9,75.6,36,205,5.9,5.1,6.3,1813,13,4.1,113.3,39,0,55,1480,0,26.9,42,34,0.81,27,27,1,74,3241,43.8,1,0,0.44366197,No,Yes,Yes,1.00618557,0.49845838,0.50154162,15.5203762,17.1147541,3.32594235,4.86891386
2007,Denver,8,7,55.41,976,5.7,305,187,96,29,14,22,326,63.3,3584,21,15,2.9,68,7.3,6.8,11.5,224,86.7,32,175,6.6,6.1,5.9,3,1957,10,62,4.6,122.3,30,23,209,1,80,9.1,58,1293,0,35,22.3,7043,0,0,11,11,1,6,6,1,12,9,2,1,0.71428571,31,27,0.871,33,33,1,60,2721,65,2,45.4,2,0,0,34,0,1,5376,992,5.4,306,168,119,30,16,19,279,458,60.9,3094,25,5.5,14,3.1,7.2,6.9,11.8,193.4,88.3,33,203,6.3,6,6.7,2282,14,4.6,142.6,31,2,62,1424,1,23,33,27,0.818,42,42,1,60,2634,43.9,3,2,0.45783133,No,No,Yes,0.78427788,0.56045082,0.43954918,17.315625,13.1442543,4.90196078,6.15384615
2008,Denver,8,8,63.33,1019,6.2,354,223,103,30,12,28,386,62.3,4471,25,18,2.9,93,7.3,6.8,11.8,279.4,85.9,12,74,7.1,6.6,1.9,4,1862,15,71,4.8,116.4,18,20,196,0,36,9.8,71,1550,0,95,21.8,8079,0,0,8,7,0.875,9,8,0.88888889,11,5,6,5,0.58823529,34,25,0.735,40,39,0.975,46,2150,64,0,46.7,2,0,0,42,2,0,5993,990,6.1,327,186,122,13,7,19,333,495,67.3,3656,20,4,6,1.2,7.7,7.9,11.4,228.5,98.5,26,141,7,7.3,5,2337,26,5,146.1,28,1,63,1554,1,24.7,35,32,0.914,48,48,1,52,2413,46.4,2,1,0.55379747,Yes,Yes,Yes,0.61234177,0.6202159,0.3797841,17.1162162,13.3772321,5.55555556,4.69387755
2009,Denver,4,8,54.63,1032,5.3,306,186,95,23,10,25,341,61.1,3627,21,13,2.3,87,6.9,6.6,11.2,226.7,84.4,34,198,6.1,5.8,5.7,3,1836,9,45,4.2,114.8,15,44,419,1,71,9.5,57,1217,1,93,21.4,7099,0,0,14,14,1,8,6,0.75,10,8,3,2,0.76923077,35,30,0.857,32,32,1,78,3387,65,0,43.4,2,0,0,34,0,0,5040,1007,5,290,167,99,30,13,24,298,510,58.4,2981,18,3.5,17,3.3,6.3,5.5,10.8,186.3,75,39,241,5.4,4.7,7.1,2059,11,4.5,128.7,36,1,49,1115,1,22.8,31,29,0.935,34,33,0.971,76,3519,46.3,0,0,0.52098765,No,No,No,0.74324324,0.57364341,0.42635659,16.7576687,15.5555556,4.15162455,5.55555556
2010,Denver,8,4,55.82,1018,5.5,309,204,81,27,15,24,334,57.6,4038,25,12,2.1,71,7.4,7.4,12.9,252.4,86.8,40,269,6.5,6.4,6.5,2,1544,13,40,3.9,96.5,29,31,323,0,33,10.4,59,1435,1,97,24.3,7340,0,0,4,4,1,10,10,1,8,6,3,2,0.72727273,24,21,0.875,39,38,0.974,86,3836,63,0,44.6,1,0,0,40,0,0,6253,1056,5.9,334,184,126,18,8,24,297,502,59.2,3780,26,5.2,10,2,7.8,8,13.3,236.3,93,23,156,7.2,7.3,4.4,2473,26,4.7,154.6,50,0,51,1259,1,24.7,36,29,0.806,53,52,0.981,73,3168,43.4,0,0,0.37345679,Yes,Yes,Yes,0.64193548,0.60903733,0.39096267,16.2267442,13.2760085,4.33275563,2.80561122
2011,Denver,13,8,50.66,1017,5,286,130,129,30,17,27,217,50.6,2434,20,13,3,56,6.3,5.9,12.5,152.1,73.5,42,274,5.2,4.8,8.9,6,2632,11,60,4.8,164.5,30,47,596,2,90,12.7,39,956,0,67,24.5,6892,0,0,6,5,0.83333333,8,8,1,7,3,4,3,0.54545455,25,19,0.76,30,30,1,101,4783,66,0,47.4,0,3,0,36,3,0,5725,1063,5.4,315,182,101,18,9,32,333,534,62.4,3704,24,4.5,9,1.7,7.5,7.6,12,231.5,93.1,41,283,6.4,6.6,7.1,2021,11,4.1,126.3,51,1,20,491,0,24.6,39,32,0.821,40,40,1,92,0,0,0,1,0.45609756,No,Yes,No,1.15923567,0.46312684,0.53687316,16.394822,14.6794872,6.63507109,3.63288719
2012,Denver,NA,13,63.66,1090,5.8,380,232,112,25,14,36,402,68.4,4534,37,11,1.9,71,7.9,8.4,11.6,283.4,105.3,21,137,7.4,7.8,3.4,3,1832,12,31,3.8,114.5,22,49,445,1,76,9.1,28,646,1,105,23.1,7594,1,1,7,7,1,11,10,0.90909091,9,5,4,3,0.61538462,32,26,0.813,55,55,1,67,3099,67,0,46.3,1,5,0,57,1,2,4652,1015,4.6,287,183,73,24,8,31,321,559,57.4,3194,25,4.5,16,2.9,6.4,6,11.1,199.6,79.4,52,364,5.2,4.9,8.5,1458,5,3.6,91.1,33,0,34,751,0,22.1,25,22,0.88,29,29,1,94,0,0,0,1,0.53571429,No,No,?,0.78981938,0.5587156,0.4412844,13.2349272,16.0968858,6.32478632,4.71014493
2002,Detroit,5,3,44.71,955,4.7,242,150,69,31,6,23,277,48,2994,19,25,4.3,64,5.5,4.2,11.4,187.1,57.9,20,174,5,3.8,3.4,2,1477,9,40,4.1,92.3,14,42,363,2,73,8.6,83,2039,0,91,24.6,6873,0,0,8,8,1,9,8,0.88888889,8,7,3,0,0.63636364,28,23,0.821,31,31,1,91,3838,57,0,42.2,2,1,1,34,1,0,6117,1119,5.5,360,221,111,24,14,28,371,591,62.8,4150,27,4.6,10,1.7,7.5,7.6,11.9,259.4,93.6,33,254,6.7,6.8,5.3,1967,19,4,122.9,53,0,68,1560,0,22.9,33,29,0.879,49,48,0.98,80,3392,42.4,2,0,0.37993921,Yes,No,Yes,0.59966499,0.62513089,0.37486911,14.6111111,13.5631929,6.0822898,7.20411664
2003,Detroit,6,5,42.62,975,4.4,250,152,69,28,4,29,319,54.3,2924,17,24,4.1,72,5.1,3.8,9.4,182.8,61.1,11,64,4.9,3.6,1.8,2,1338,5,39,3.6,83.6,18,47,576,2,89,12.3,70,1584,1,96,22.6,6422,0,0,7,7,1,6,6,1,6,5,4,4,0.9,23,22,0.957,27,26,0.963,96,3830,58,1,39.9,3,1,0,29,2,0,5360,997,5.4,298,166,105,28,13,27,331,522,63.4,3578,26,5,15,2.9,7.2,6.9,11.4,223.6,89.6,28,182,6.5,6.2,5.1,1722,10,4,107.6,59,1,53,1313,1,24.8,24,17,0.708,46,46,1,84,3570,42.5,0,0,0.38670695,No,No,Yes,0.62771285,0.61435897,0.38564103,15.7851852,14.1424802,8.80829016,4.0776699
2004,Detroit,5,6,46.93,949,4.9,263,142,92,20,7,29,285,56.4,2916,19,13,2.6,62,6.2,5.8,11,182.3,76.7,37,208,5.4,5,6.8,1,1777,7,74,4.4,111.1,12,40,420,2,83,10.5,66,1568,2,99,23.8,6681,0,0,9,9,1,11,10,0.90909091,8,5,0,0,0.625,28,24,0.857,28,28,1,93,3806,60,1,40.9,0,1,1,32,1,1,5401,1071,5,320,167,118,24,10,35,328,535,61.3,3514,29,5.4,14,2.6,7,6.9,11.4,219.6,89.4,38,222,6.1,6,6.6,1887,10,3.8,117.9,46,0,54,1058,0,19.6,20,17,0.85,38,37,0.974,84,3654,43.5,1,1,0.48011364,No,No,No,0.75092251,0.5711275,0.4288725,15.8547297,15.4314286,7.2,4.51977401
2005,Detroit,3,5,43.19,955,4.5,258,151,69,30,12,38,297,57.1,2848,15,18,3.5,86,5.8,4.8,10.2,178,69.1,31,173,5.2,4.2,5.6,2,1471,10,77,3.6,91.9,21,36,274,0,49,7.6,73,1576,0,73,21.6,6169,1,1,9,9,1,3,3,1,7,4,4,2,0.54545455,24,19,0.792,28,27,0.964,84,3656,60,0,43.5,1,2,0,28,0,1,5158,1006,5.1,308,166,109,31,12,33,295,487,60.6,3118,19,3.9,19,3.9,6.8,5.8,11.2,194.9,77.6,31,187,6,5.1,6,2040,15,4.2,127.5,50,2,55,1239,1,22.5,30,24,0.8,37,37,1,72,2902,40.3,1,0,0.43333333,Yes,Yes,No,0.73321234,0.57696335,0.42303665,17.003937,14.9507246,6.78294574,5.17598344
2006,Detroit,7,3,49.49,963,5.1,290,208,53,39,17,29,372,62.4,3820,21,22,3.7,60,7.1,6.1,11.3,238.8,79.9,63,388,5.8,4.9,9.6,1,1129,9,52,3.7,70.6,26,35,396,0,48,11.3,74,1648,0,65,22.3,6993,1,1,12,12,1,6,6,1,8,7,6,3,0.71428571,33,29,0.879,30,30,1,66,2967,67,0,45,0,1,0,31,0,1,5530,1033,5.4,319,183,111,30,18,25,339,511,66.3,3520,22,4.3,12,2.3,7.3,7.1,11,220,92.3,30,201,6.5,6.3,5.5,2010,18,4.1,125.6,38,1,63,1444,0,22.9,33,30,0.909,41,40,0.976,68,2992,44,2,0,0.38636364,No,No,No,0.46130501,0.68431983,0.31568017,16.2262295,13.8944724,4.08163265,4.95049505
