SalePrice,YearsAgo,YearMade,Usage,Blade,Tire
16000,2.79,1981,2315,13,14
124000,0.16,2009,2313,14,14
52000,2.32,1977,2299,14,20.5
84000,1.69,2000,2292,12,14
33000,6.08,1976,2272,14,14
36000,0.04,1984,2268,12,14
111000,2.8,2007,2256,14,14
29000,0.87,1987,2254,12,14
97000,2.48,2006,2246,14,14
24000,2.71,1991,2227,14,13
15901,3.73,1978,2188,12,14
44100,2.91,1985,2157,12,14
33000,0.64,1988,2152,14,13
27000,0.81,1992,2143,14,14
17500,0.65,1991,2139,13,14
90000,2.04,2004,2126,14,14
105000,1.52,2005,2119,14,14
132000,0.12,2008,2085,14,17.5
49000,2.54,2000,2064,14,14
130000,13.5,1996,2050,14,14
125000,3.24,2005,2048,14,14
115000,0.25,2004,2045,12,14
70000,0.77,2005,2005,14,20.5
55000,0.79,2002,1978,14,14
34000,0.3,1974,1970,14,20.5
34000,0.3,1974,1970,14,20.5
13000,2.29,1980,1963,12,15.5
100000,2.48,2001,1956,14,17.5
10000,0.6,1981,1931,14,14
124000,0.16,2009,1930,14,14
105000,2.56,2005,1910,12,14
93000,0.79,1998,1902,14,17.5
120000,2.92,2006,1901,14,17.5
112500,13.5,1995,1900,14,14
75000,0.87,2002,1876,14,14
97000,1.75,2005,1864,14,17.5
136000,1.83,2006,1847,14,17.5
55000,0.75,1998,1830,12,17.5
102500,0.26,2005,1828,14,14
137500,1.91,2005,1804,14,14
80000,1.04,2007,1750,14,14
75000,1.06,1994,1749,14,14
77500,0.18,1997,1741,14,14
16000,0.87,1990,1718,14,14
75000,0.85,2004,1709,14,17.5
110000,15,1992,1700,14,14
62000,1.25,2005,1698,14,17.5
73000,0.04,2000,1687,14,14
82500,2.48,1998,1677,14,14
29000,6.16,1979,1669,12,14
85000,0.24,1997,1660,12,14
102000,0.18,2007,1654,14,20.5
90000,20.5,1989,1636,14,14
12500,0.23,1973,1608,12,14
110000,2.92,2005,1602,14,17.5
94000,2.48,2006,1600,14,14
60000,2.48,1994,1594,14,14
87500,4.28,2002,1564,12,14
142000,4.18,2005,1558,14,15.5
140000,1.25,2008,1519,14,14
67000,0.26,2002,1512,14,14
111000,1.03,2006,1500,12,14
117500,0.92,2006,1500,12,14
135000,2.18,2006,1496,14,14
18000,1.18,1988,1494,14,14
18000,1.18,1988,1494,14,14
40000,2.83,1978,1472,14,14
134000,1.56,2007,1471,14,14
42500,0.79,1982,1453,14,14
14000,2.21,1970,1447,12,13
84000,2.92,2004,1444,12,17.5
106000,4.2,2005,1439,12,14
97000,2.17,1998,1438,12,14
33000,2.76,1974,1420,16,20.5
132000,0.42,2008,1411,14,17.5
22000,1.3,1990,1377,14,14
48000,4.43,1986,1344,12,14
56000,2.27,2005,1334,14,14
67000,0.08,1990,1334,12,14
64000,4.36,2000,1318,14,17.5
127500,1.79,2006,1302,12,14
95000,0.2,2006,1289,14,14
86000,0.64,1996,1257,14,17.5
55000,2.8,2003,1245,14,14
61000,3.38,2003,1245,14,14
90000,1.25,1999,1224,14,17.5
135000,1.56,2006,1200,14,20.5
27000,0.05,1975,1183,12,14
52000,0.87,1984,1174,14,14
45000,0.85,1980,1164,14,17.5
60000,0.87,1992,1160,14,14
14500,0.35,1982,1154,14,14
80000,1.65,1997,1154,14,14
125000,16.8,1992,1150,14,14
41000,3.15,1978,1119,14,14
40000,0.54,1980,1050,16,23.5
83000,15.4,1978,1000,16,23.5
29000,1.2,1997,956,12,14
115000,1.04,2004,953,14,14
48000,0.56,1983,949,12,17.5
141000,1.84,2007,943,14,14
82000,0.79,2006,932,14,14
31000,1.29,1985,926,12,14
20000,1.6,1984,864,14,14
46000,0.79,1999,780,14,14
29000,5.43,1989,775,14,14
19500,2.29,1977,765,12,14
132500,1.27,2008,732,12,14
77000,2.28,2005,728,12,14
60000,4.47,1991,579,12,14
127000,3.03,2006,568,14,14
45000,2.64,1987,546,12,17.5
15000,21.6,1973,500,12,14
85000,0.71,1996,472,14,14
85000,2.48,1996,468,14,14
52000,4.47,1987,448,12,14
77500,3.36,2006,425,14,17.5
70000,2.13,2008,294,14,14
16500,2.8,1979,264,12,15.5
8000,2.42,1965,197,12,13
14000,2.64,1988,157,14,14
25000,2.48,1987,111,14,14
41000,0.37,1974,102,12,14
15500,2.29,1984,96,12,14
110000,4.13,2002,43,14,14
42000,2.84,1979,41,13,14
11000,0.2,1972,38,12,14
24000,2.59,1992,7,14,14
