Gender,Weight,DesiredWeight,Class,BornInTN,Greek,UTFirstChoice,Churchgoer,ParentsMarried,GPA,SittingLocation,WeeklyHoursStudied,Scholarship,FacebookFriends,AgeFirstKiss,CarYear,DaysPerWeekAlcohol,NumDrinksParty,CellProvider,FreqDroppedCalls,MarriedAt,KidsBy,Computer,FastestDrivingSpeed,BusinessMajor,Major,TxtsPerDay,FootballGames,HoursWorkOut,MilesToSchool,MoneyInBank,MoneyOnHaircut,PercentTuitionYouPay,SongsDownloaded,ParentCollegeGraduate,HoursSleepPerNight,Last2DigitsPhone,NumClassesMissed,BooksReadThisYear,UseChopsticks,YourAttractiveness,Obama,HoursWorkedPerWeek,MoviesInTheater,KnowSomeoneH1N1,ReadBeacon
Female,110,110,Sophmore,Yes,No,Yes,Yes,Yes,3.06,Middle,3,Yes,533,15,2003,1,2,USCellar,Rarely,24,26,Windows,80,No,NonBusiness,50,9,3,7,4000,80,25,15,No,8,89,5,0,No,4,No,18,3,No,No
Female,285,160,Junior,Yes,No,No,No,Yes,3.2,Middle,3,Yes,1,NA,2001,2,6,Verizon,Rarely,27,29,Mac,110,Yes,Business,350,6,7,0,1000,85,50,25,No,6,40,3,2,No,3,No,0,20,Yes,No
Male,270,220,Sophmore,No,No,Yes,Yes,No,3.45,Middle,2.5,No,23,14,1994,1,1,Sprint,Rarely,1,1,Windows,92,Yes,NonBusiness,15,7,8,20,999,14,95,5,No,3,70,1,5,Yes,3,Yes,40,8,Yes,Yes
Male,215,185,Senior,Yes,No,No,No,Yes,2.5,Middle,2,No,30,15,2007,1,3,Verizon,Rarely,NA,30,Windows,85,Yes,NonBusiness,2,0,2,15,-999,12,100,0,Yes,6,19,3,4,No,3,NotVote,10,3,No,No
Male,158,165,Sophmore,No,No,No,No,Yes,3.6,Front,3,No,967,12,2008,2,10,Sprint,Rarely,28,32,Windows,165,Yes,Business,17,8,25,2,999,25,0,6,No,7,0,1,3,No,4,No,0,5,No,No
Male,200,190,Sophmore,No,No,No,No,No,2.99,Front,3,Yes,1,17,2005,2,3,Verizon,Rarely,25,30,Windows,150,Yes,NonBusiness,5,8,15,10,999,8,0,20,No,7,59,1,0,No,3,No,25,3,No,No
Female,125,120,Sophmore,Yes,Yes,Yes,Yes,Yes,3.81,Middle,10,Yes,709,18,2000,NA,NA,ATT,Rarely,26,28,Windows,90,No,NonBusiness,150,10,3,0,1000,35,0,20,Yes,7,79,1,0,No,4,NotVote,0,2,Yes,No
Male,145,140,Junior,Yes,No,Yes,Yes,No,2.5,Back,2,No,468,15,2006,2,8,USCellar,Rarely,25,28,Mac,143,No,NonBusiness,80,5,60,20,1200,0,100,200,No,5,50,2,1,No,3,Yes,40,12,No,Yes
Male,160,155,Junior,Yes,No,Yes,No,Yes,2.75,Front,1,No,908,14,2006,1,2,ATT,Often,30,35,Mac,125,Yes,Business,10,3,15,5,3200,10,100,10,Yes,8,21,5,1,No,2,No,30,10,No,Yes
Female,135,135,Sophmore,No,No,Yes,No,Yes,2.97,Back,2,Yes,177,17,1998,1,5,ATT,Occasionally,21,27,Mac,106,No,NonBusiness,300,1,3,4,-999,50,0,2,No,6,20,1,5,Yes,4,NotVote,0,20,Yes,No
Female,160,160,Sophmore,Yes,No,Yes,Yes,No,3.4,Middle,8,Yes,445,14,2003,NA,3,Verizon,Rarely,26,28,Windows,102,No,NonBusiness,20,10,6,0,-999,30,0,57,No,4,54,0,10,Yes,4,No,12,4,Yes,Yes
Male,160,165,Junior,Yes,Yes,Yes,No,No,2.5,Back,1,No,759,15,2001,3,7,Verizon,Rarely,28,30,Windows,125,Yes,Business,10,6,2,1,100,13,0,20,Yes,4,39,6,0,Yes,3,NotVote,0,2,Yes,Yes
Female,185,170,Freshman,Yes,No,No,No,Yes,3,Middle,1.5,Yes,665,13,2007,1,5,ATT,Rarely,25,30,Windows,112,No,NonBusiness,108,6,4,0,800,12,0,0,Yes,6,97,3,1,Yes,3,NotVote,0,7,No,Yes
Female,250,185,Junior,No,No,Yes,No,No,2.98,Back,7,Yes,415,12,2004,1,1,Verizon,Rarely,28,30,Windows,98,No,NonBusiness,200,0,4,0,55.92,15,0,40,No,5,45,7,10,No,2,NotVote,30,5,No,No
Male,200,180,Senior,Yes,Yes,Yes,No,Yes,2.5,Front,3,No,300,16,2009,4,7,ATT,Rarely,24,28,Mac,100,No,NonBusiness,25,7,10,0,3999,0,100,0,Yes,7,78,3,5,No,3,NotVote,12,5,No,Yes
Female,130,130,Junior,Yes,No,No,No,Yes,2.07,Middle,6,No,120,14,2002,1,3,Sprint,Rarely,25,26,Windows,100,No,NonBusiness,50,2,5,10,3.69,20,20,0,Yes,4,25,15,3,Yes,5,Yes,30,20,Yes,No
Female,110,110,Freshman,No,No,No,No,Yes,4,Front,24,Yes,400,NA,2009,NA,NA,ATT,Occasionally,25,26,Windows,50,No,NonBusiness,-1,3,0,0,800,10,0,10,Yes,7,66,0,7,No,3,NotVote,0,5,Yes,Yes
Male,196,210,Junior,No,No,Yes,Yes,Yes,2.8,Front,2,No,1329,16,2003,1,5,Verizon,Rarely,26,28,Mac,110,No,NonBusiness,50,12,40,2,7000,0,0,12,No,7,16,4,0,No,4,No,0,2,Yes,Yes
Male,180,190,Sophmore,Yes,Yes,No,No,No,3,Middle,1,Yes,1000,13,2008,1,5,Verizon,Rarely,26,27,Windows,154,Yes,NonBusiness,100,0,16,2,-999,10,100,0,Yes,5,35,3,3,Yes,3,No,0,5,Yes,No
Female,128,120,Senior,Yes,No,Yes,Yes,No,3.34,Back,3,Yes,868,14,2002,2,3,Verizon,Rarely,25,27,Mac,90,No,NonBusiness,40,8,5,10,999,25,0,40,No,6,57,2,4,Yes,3,Yes,30,10,Yes,Yes
Female,145,130,Senior,Yes,No,Yes,Yes,Yes,3.24,Front,3,Yes,475,18,2002,1,1,USCellar,Occasionally,26,28,Windows,90,No,NonBusiness,100,2,3,10,999,20,0,0,Yes,7.5,82,2,2,No,3,NotVote,25,5,Yes,No
Female,128,128,Sophmore,Yes,No,No,No,No,3.8,Middle,20,Yes,516,14,2005,3,4,Sprint,Rarely,33,2,Windows,100,No,NonBusiness,25,3,6,0,999,45,5,0,Yes,4,93,4,3,Yes,5,Yes,20,2,Yes,No
Female,151,140,Sophmore,Yes,No,Yes,No,No,3.48,Front,2,Yes,100,17,2006,2,4,Verizon,Rarely,24,NA,Windows,100,No,NonBusiness,15,4,3,0,3500,35,0,3,Yes,7,38,10,3,Yes,3,Yes,0,2,Yes,Yes
Female,128,125,Sophmore,Yes,No,Yes,Yes,Yes,4,Middle,4,Yes,255,NA,1998,NA,NA,Verizon,Rarely,21,22,Windows,85,No,NonBusiness,-1,1,1,15,5000,20,0,0,Yes,7,14,0,6,No,3,No,6,0,No,No
Male,210,200,Sophmore,Yes,No,Yes,No,Yes,3.56,Front,2.5,Yes,269,1,2005,2,6,ATT,Rarely,27,30,Windows,100,No,NonBusiness,10,8,9,0,3500,12,10,10,No,6,90,0,0,No,3,No,0,3,Yes,Yes
Female,126,110,Junior,Yes,No,Yes,No,Yes,2.8,Middle,2,No,629,16,2001,1,2,Verizon,Rarely,24,28,Windows,80,Yes,NonBusiness,15,2,1,5,500,0,0,5,Yes,6,71,1,0,No,4,NotVote,20,10,No,No
Female,170,163,Sophmore,No,No,Yes,Yes,Yes,1.88,Front,4,No,670,14,2001,1,1,Verizon,Rarely,23,25,Mac,108,No,NonBusiness,135,10,0,2,-999,35,0,30,Yes,6,35,10,0,Yes,3,No,0,3,Yes,No
Male,160,140,Junior,Yes,No,Yes,No,No,2.89,Front,5,Yes,69,NA,2009,1,0,ATT,Rarely,NA,NA,Windows,93,Yes,Business,4,0,28,0,-999,10,15,0,Yes,5,86,0,9,Yes,5,NotVote,70,11,No,No
Male,280,230,Sophmore,No,No,Yes,Yes,Yes,2.3,Middle,2,No,120,18,2003,NA,NA,ATT,Rarely,21,25,Mac,90,No,NonBusiness,10,8,2,20,500,0,100,0,Yes,7,90,6,2,No,2,No,37,8,No,No
Female,150,130,Junior,No,No,No,No,Yes,3.34,Middle,5,Yes,130,18,1999,2,6,Verizon,Rarely,27,2,Windows,90,Yes,NonBusiness,50,0,2,0,10,60,100,30,Yes,5,30,0,5,Yes,2,Yes,0,2,No,No
Female,150,140,Sophmore,No,No,Yes,No,Yes,2.69,Back,5,Yes,964,13,2004,2,3,Verizon,Rarely,26,29,Mac,105,No,NonBusiness,100,8,5,1,174,60,0,20,Yes,9,4,1,1,No,3,No,10,2,No,No
Male,170,175,Sophmore,No,No,Yes,No,Yes,2.8,Middle,5,Yes,500,14,2003,2,4,Verizon,Rarely,27,30,Windows,105,No,NonBusiness,4,7,7,1,3000,0,100,0,Yes,7,46,6,2,Yes,4,NotVote,0,3,Yes,No
Female,150,125,Sophmore,Yes,No,No,No,No,3.7,Front,4,No,350,16,2003,NA,3,Verizon,Rarely,22,25,Mac,90,No,NonBusiness,150,7,3,3,-999,60,0,0,No,8,12,3,1,No,4,No,25,1000,No,Yes
Female,115,115,Junior,No,No,Yes,No,Yes,3,Front,4,No,300,14,2007,2,5,Verizon,Rarely,35,35,Mac,100,Yes,Business,20,5,8,15,2500,0,100,50,Yes,8,44,0,15,Yes,3,No,20,15,Yes,No
Female,110,110,Sophmore,Yes,No,Yes,Yes,Yes,3.43,Front,15,Yes,100,14,1990,1,3,Verizon,Rarely,25,27,Mac,100,No,NonBusiness,500,7,2,15,-999,25,0,20,No,6,76,0,5,No,3,Yes,0,5,Yes,No
Female,115,115,Senior,Yes,No,Yes,No,No,2.76,Middle,3,No,99,14,2006,2,5,USCellar,Rarely,35,35,Mac,100,No,NonBusiness,2,1,2,5,-999,15,90,0,No,4.5,86,15,2,No,4,Yes,35,3,Yes,No
Female,158,137,Senior,No,No,Yes,No,No,3,Back,4,Yes,174,21,1986,1,3,USCellar,Occasionally,28,28,Mac,90,No,NonBusiness,150,3,2,0,-999,20,15,100,Yes,7,84,5,2,Yes,4,NotVote,0,3,No,No
Male,150,155,Junior,Yes,No,Yes,Yes,No,3.29,Middle,3,Yes,393,10,1999,1,6,Verizon,Rarely,30,NA,Windows,100,Yes,Business,6,9,14,15,-999,13,25,10,Yes,6,74,1,0,Yes,3,NotVote,36,2,No,Yes
Female,183,135,Junior,No,No,No,Yes,No,3.06,Back,2,Yes,267,14,2004,2,8,ATT,Occasionally,23,25,Windows,113,No,NonBusiness,8,1,3,1,999,13,0,0,No,4.5,2,3,1,Yes,5,Yes,0,5,No,Yes
Female,142,130,Sophmore,Yes,Yes,Yes,Yes,Yes,3.3,Front,2,Yes,1080,14,2006,NA,NA,Verizon,Rarely,25,27,Windows,95,No,NonBusiness,50,8,15,0,-999,25,0,20,Yes,7.5,57,0,3,Yes,3,No,0,7,Yes,Yes
Male,135,160,Junior,Yes,No,Yes,Yes,Yes,2.6,Front,5,Yes,673,15,2005,NA,NA,Verizon,Rarely,25,27,Windows,85,No,NonBusiness,100,8,5,0,-999,11,0,0,Yes,6,97,0,0,Yes,3,No,0,6,Yes,No
Female,120,110,Sophmore,No,Yes,Yes,No,Yes,3.21,Middle,3,No,1143,14,2006,2,4,ATT,Often,27,31,Mac,105,No,NonBusiness,100,5,10,5,600,20,100,50,Yes,4,55,4,4,No,4,No,40,5,Yes,No
Female,123,115,Junior,Yes,No,Yes,No,No,3.8,Front,2,Yes,137,14,2003,2,4,ATT,Occasionally,25,30,Windows,120,Yes,Business,60,2,1,18,1400,20,25,20,Yes,7,74,4,10,No,2,No,8,4,No,No
Female,128,120,Junior,Yes,No,No,Yes,Yes,3.03,Front,3,Yes,251,15,2003,NA,NA,Verizon,Rarely,30,33,Windows,85,No,NonBusiness,50,2,2,1,1963,12,100,0,No,9,18,3,4,No,2,No,0,6,Yes,Yes
Male,185,190,Sophmore,Yes,Yes,No,Yes,Yes,3.2,Back,0.5,Yes,925,15,1998,6,12,ATT,Rarely,27,31,Mac,135,No,NonBusiness,150,6,8,1,300,0,100,60,Yes,5.5,32,10,3,Yes,4,No,5,7,Yes,Yes
Female,165,145,Sophmore,No,No,Yes,Yes,No,3.93,Front,4,Yes,411,12,2005,2,5,Verizon,Rarely,25,28,Windows,110,No,NonBusiness,50,1,8,8,13012,20,0,50,Yes,7,83,0,3,No,4,Yes,10,12,Yes,Yes
Female,135,125,Sophmore,Yes,Yes,Yes,Yes,Yes,3.53,Back,4,Yes,846,15,2007,1,1,Verizon,Rarely,25,27,Windows,78,No,NonBusiness,15,8,4,0,300,50,0,0,Yes,8,17,2,2,No,4,No,0,7,Yes,No
Female,130,130,Sophmore,Yes,Yes,Yes,No,Yes,3.48,Front,3,Yes,1323,17,2004,2,4,Verizon,Rarely,25,28,Windows,95,No,NonBusiness,250,5,2,2,999,30,0,0,Yes,7,34,1,15,No,3,No,0,4,Yes,No
Female,109,110,Junior,Yes,No,Yes,No,Yes,3.59,Front,2,Yes,118,17,2005,0,1,ATT,Occasionally,25,26,Windows,90,No,NonBusiness,5,2,5,0,1200,25,0,5,Yes,8,65,2,4,Yes,4,NotVote,0,5,Yes,No
Female,149,145,Sophmore,Yes,Yes,Yes,No,Yes,2.9,Back,4,Yes,568,15,2006,2,3,Verizon,Rarely,25,28,Windows,100,No,NonBusiness,200,5,1,0,14.46,25,30,10,No,7,39,15,5,No,4,No,0,5,Yes,No
Male,155,150,Junior,No,No,No,No,Yes,1.93,Middle,1.5,Yes,753,15,2009,NA,NA,Verizon,Rarely,26,28,Windows,115,No,NonBusiness,125,1,10,7,300,10,0,20,Yes,7,37,8,0,Yes,4,NotVote,27,10,Yes,No
Male,230,230,Senior,No,No,Yes,No,No,3.52,Front,2,Yes,7,16,2005,NA,NA,Sprint,Rarely,NA,NA,Windows,65,No,NonBusiness,5,0,4,0,-999,0,100,20,No,6,60,6,20,Yes,3,NotVote,20,9,Yes,Yes
Female,132,135,Junior,No,No,Yes,No,Yes,3.24,Front,2,Yes,1500,16,2006,1,7,Verizon,Rarely,26,30,Mac,86,No,NonBusiness,200,8,25,2,1500,50,10,10,Yes,8,64,0,3,No,3,NotVote,0,15,Yes,Yes
Male,160,160,Sophmore,Yes,No,No,No,Yes,3.7,Front,1,Yes,88,NA,1994,NA,NA,Verizon,Rarely,NA,NA,Windows,85,No,NonBusiness,5,8,6,5,-999,30,0,0,Yes,8.5,66,0,9,No,2,Yes,0,5,No,Yes
Female,125,115,Sophmore,Yes,No,Yes,No,Yes,3.54,Middle,4,No,315,14,2002,1,4,Verizon,Occasionally,26,35,Windows,105,No,NonBusiness,200,2,2,1,6000,25,0,0,Yes,7,35,1,20,No,4,No,16,6,No,No
Male,130,140,Junior,Yes,No,Yes,No,Yes,3.33,Front,3,No,300,21,2006,0,3,ATT,Often,28,29,Windows,105,No,NonBusiness,1,0,1,0,1666,0,100,20,Yes,8,72,7,0,No,3,NotVote,30,0,No,No
Male,220,225,Junior,Yes,No,Yes,No,Yes,3.44,Middle,20,Yes,413,13,1998,2,10,Verizon,Rarely,24,27,Windows,105,Yes,Business,40,0,4,2,4900,15,100,10,Yes,6,5,1,0,Yes,3,No,13,10,Yes,No
Male,170,160,Junior,Yes,No,Yes,No,Yes,4,Middle,24,Yes,505,14,1999,2,8,ATT,Occasionally,30,33,Windows,90,No,NonBusiness,20,6,8,1,4500,12,100,15,Yes,8,88,1,0,No,3,No,0,3,Yes,No
Female,120,120,Sophmore,No,Yes,No,No,No,4,Front,2,Yes,1256,14,2006,1,1,Verizon,Rarely,25,27,Windows,105,Yes,Business,25,3,2,0,600,90,0,3,Yes,8,4,9,2,Yes,4,NotVote,20,3,Yes,No
Female,170,150,Sophmore,No,No,Yes,Yes,Yes,3.34,Front,14,Yes,315,15,2001,1,1,ATT,Rarely,23,25,Windows,110,Yes,Business,15,6,4,0,336,15,0,20,Yes,7,34,1,5,No,3,No,5,10,Yes,Yes
Female,160,130,Junior,No,Yes,Yes,No,No,3,Front,2,Yes,700,15,2007,1,3,Verizon,Rarely,27,30,Windows,90,No,NonBusiness,20,4,6,0,999,40,100,0,No,8,97,10,7,Yes,3,NotVote,20,20,Yes,Yes
Male,172,180,Junior,Yes,Yes,Yes,No,Yes,3.25,Front,1,Yes,761,13,2006,4,10,ATT,Rarely,28,30,Windows,140,Yes,NonBusiness,50,8,15,0,8000,20,0,30,Yes,7,11,20,2,Yes,4,NotVote,0,10,No,Yes
Female,130,125,Senior,Yes,Yes,Yes,No,No,2.96,Back,2,No,1325,13,2002,3,6,Verizon,Rarely,25,28,Mac,95,No,NonBusiness,25,5,0,2,999,60,100,5,Yes,9,65,4,2,Yes,4,Yes,0,2,No,Yes
Female,135,120,Junior,Yes,No,Yes,Yes,Yes,3.31,Middle,2,Yes,970,14,2002,1,3,ATT,Occasionally,24,26,Windows,85,Yes,Business,100,12,5,0,1500,70,25,300,No,7,47,2,0,Yes,3,No,18,15,Yes,Yes
Female,100,100,Junior,Yes,Yes,No,No,No,3.24,Front,3,Yes,1008,15,2005,1,2,Verizon,Occasionally,24,27,Mac,101,No,NonBusiness,50,7,4,3,200,8,0,6,Yes,7,35,2,11,No,4,No,13,4,Yes,No
Male,188,205,Junior,Yes,Yes,Yes,Yes,Yes,2.76,Front,3,Yes,796,14,1998,2,5,Verizon,Rarely,27,30,Windows,187,Yes,Business,80,5,11,1,1800,0,65,250,Yes,6.5,88,1,13,Yes,4,NotVote,20,3,Yes,No
Female,130,115,Senior,Yes,No,Yes,No,Yes,3.36,Back,3,Yes,334,14,1999,1,3,Verizon,Rarely,NA,NA,Mac,85,No,NonBusiness,5,4,3,0,500,15,0,20,Yes,8,65,0,15,No,4,Yes,2,2,Yes,Yes
Male,240,225,Junior,No,No,Yes,No,No,3.44,Front,2,Yes,504,11,1999,6,10,USCellar,Occasionally,27,28,Windows,80,No,NonBusiness,25,7,0,0,4000,19,100,10,Yes,7,22,6,0,No,1,NotVote,0,2,Yes,Yes
Male,270,220,Junior,Yes,No,Yes,Yes,Yes,2.85,Middle,2,Yes,275,16,1998,1,6,ATT,Rarely,24,25,Windows,103,Yes,Business,20,0,2,0,471,15,0,0,No,7,82,2,3,Yes,2,No,0,14,Yes,No
Male,157,170,Junior,Yes,No,Yes,Yes,Yes,3.37,Back,2,Yes,276,13,1994,4,6,Verizon,Rarely,30,32,Mac,110,Yes,Business,100,7,6,2,4524.55,0,0,0,Yes,7,13,6,0,Yes,3,No,12,8,Yes,No
Male,170,160,Junior,No,No,No,No,Yes,4,Middle,4,Yes,460,NA,2006,NA,NA,Verizon,Rarely,28,30,Windows,110,No,NonBusiness,30,8,5,10,1600,0,0,20,Yes,5,24,0,5,No,3,NotVote,6,7,Yes,Yes
Male,185,190,Senior,Yes,No,Yes,No,No,3,Middle,3,Yes,606,14,1994,2,12,Verizon,Rarely,27,28,Mac,135,No,NonBusiness,20,5,8,3,999,0,0,40,No,8,19,8,2,Yes,3,NotVote,0,10,Yes,Yes
Female,141,135,Sophmore,Yes,No,Yes,Yes,Yes,3,Middle,8,Yes,215,15,2002,1,8,Verizon,Occasionally,28,31,Windows,95,No,NonBusiness,30,6,20,5,150,20,0,0,Yes,5,68,0,0,No,3,No,0,6,Yes,No
Female,110,100,Junior,No,Yes,Yes,Yes,Yes,3.2,Front,7,Yes,1840,10,2009,2,3,ATT,Rarely,26,27,Mac,90,No,NonBusiness,100,9,20,2,999,45,0,30,Yes,6,69,2,2,No,3,No,5,5,Yes,No
Female,177,150,Junior,Yes,Yes,Yes,No,Yes,3.34,Middle,3,Yes,1058,15,2008,2,4,ATT,Occasionally,25,30,Windows,97,No,NonBusiness,140,5,4,0,-999,100,0,5,No,5,89,7,3,Yes,3,No,8,8,Yes,Yes
Male,220,200,Junior,Yes,No,No,Yes,Yes,2.5,Middle,4,No,486,14,2001,2,2,Verizon,Rarely,25,27,Windows,115,No,NonBusiness,100,4,3,4,98,0,100,0,Yes,7,87,5,0,No,4,NotVote,20,1,No,Yes
Female,105,100,Junior,Yes,No,No,No,Yes,3.05,Middle,2,Yes,531,15,2007,2,6,Verizon,Rarely,24,27,Windows,90,No,NonBusiness,10,5,7,0,-999,45,0,5,Yes,8,88,5,7,No,3,Yes,9,4,Yes,No
Female,110,110,Junior,Yes,Yes,Yes,No,Yes,3,Front,2,Yes,742,15,2008,2,3,Sprint,Occasionally,24,28,Windows,95,Yes,Business,70,7,2,2,93,40,0,10,No,8,99,5,1,Yes,4,NotVote,7,2,Yes,No
Female,112,110,Junior,Yes,No,No,No,Yes,3.56,Middle,2,Yes,477,14,2000,3,3,ATT,Rarely,25,26,Windows,98,Yes,NonBusiness,100,8,3,1,1400,50,0,0,Yes,7,39,8,2,Yes,4,No,0,5,Yes,Yes
Female,101,106,Sophmore,No,Yes,Yes,Yes,No,3.9,Front,4,Yes,704,14,1996,3,2,Verizon,Rarely,26,31,Windows,93,No,NonBusiness,20,4,1,0,334,45,60,0,No,5,30,1,0,Yes,3,No,0,1,No,No
Female,117,110,Sophmore,No,Yes,Yes,No,Yes,3.01,Front,4,Yes,1455,16,2005,3,5,ATT,Often,27,34,Mac,97,No,NonBusiness,75,1,7,0,1300,12,0,0,Yes,6,19,6,2,Yes,3,Yes,0,3,Yes,Yes
Male,165,165,Senior,Yes,No,Yes,No,Yes,3.98,Front,5,Yes,763,15,2002,1,2,Verizon,Rarely,27,29,Windows,105,No,NonBusiness,50,10,8,3,750,12,0,0,Yes,8,45,0,0,No,5,No,15,3,Yes,Yes
Male,167,180,Junior,No,No,No,No,No,3.59,Back,2,Yes,240,16,2003,1,1,Verizon,Rarely,26,31,Windows,93,No,NonBusiness,20,2,15,0,19000,15,100,0,No,6,48,0,0,Yes,4,Yes,17,3,Yes,No
Female,155,135,Junior,Yes,Yes,Yes,Yes,No,3.7,Back,2,Yes,838,15,2001,2,5,Sprint,Rarely,30,35,Mac,75,No,NonBusiness,15,6,4,0,1085,15,0,0,Yes,7,9,4,5,Yes,3,NotVote,9,2,Yes,No
Male,180,180,Senior,Yes,No,Yes,Yes,Yes,3.2,Middle,24,Yes,577,17,2001,1,2,USCellar,Rarely,25,2,Windows,110,No,NonBusiness,7,2,15,0,5000,0,0,1,Yes,8,86,0,2,Yes,3,No,6,4,Yes,Yes
Male,155,150,Junior,Yes,Yes,Yes,Yes,Yes,2.96,Front,2,Yes,400,15,1996,2,10,ATT,Rarely,25,30,Windows,135,Yes,NonBusiness,30,8,5,0,5000,15,0,0,No,8,76,0,0,Yes,5,NotVote,0,10,No,No
Female,145,120,Junior,No,No,No,No,Yes,2.7,Back,4,Yes,881,15,2005,2,5,Verizon,Rarely,27,30,Windows,105,No,NonBusiness,40,5,6,0,999,60,30,15,Yes,5,51,3,3,Yes,3,No,0,3,No,Yes
Female,160,135,Junior,Yes,No,Yes,Yes,Yes,3.57,Front,3,Yes,900,14,2007,NA,NA,USCellar,Rarely,26,29,Mac,90,No,NonBusiness,300,1,0,0,200,15,30,0,Yes,6,64,2,0,No,2,Yes,16,7,No,No
Female,138,130,Junior,No,No,Yes,Yes,Yes,2.66,Back,2,No,309,16,1999,1,4,Verizon,Rarely,26,28,Windows,110,Yes,Business,100,8,2,5,150,28,100,50,No,7,56,2,3,No,4,Yes,18,3,Yes,No
Female,140,130,Senior,No,No,Yes,No,Yes,2.85,Middle,16,No,142,1,2005,2,3,USCellar,Occasionally,24,28,Windows,120,No,NonBusiness,10,5,7,4,21.18,100,50,20,No,6,15,3,4,Yes,3,NotVote,35,3,Yes,Yes
Female,135,130,Junior,No,Yes,Yes,No,Yes,3.12,Back,4,No,1094,14,2004,3,10,Verizon,Rarely,28,30,Mac,95,Yes,NonBusiness,50,7,7,0,250,30,0,0,Yes,8,1,4,3,No,3,Yes,0,8,Yes,No
Male,160,190,Junior,No,No,Yes,No,Yes,2.19,Middle,10,No,300,15,2002,2,5,ATT,Rarely,30,30,Windows,145,Yes,Business,40,8,4,0,-999,0,80,20,Yes,7,95,2,12,Yes,2,NotVote,10,0,No,No
Female,107,110,Sophmore,Yes,Yes,No,No,Yes,3.2,Varies,4,Yes,634,13,2004,2,3,Verizon,Rarely,25,28,Windows,95,No,NonBusiness,200,5,2,0,30,30,0,4,Yes,6,38,2,4,Yes,4,No,0,8,Yes,No
Female,128,115,Junior,Yes,No,Yes,Yes,Yes,2.64,Middle,3,No,542,13,2004,1,6,Verizon,Rarely,22,25,Windows,105,Yes,NonBusiness,125,8,3,0,-999,20,0,0,Yes,7,83,1,7,Yes,4,No,0,10,No,Yes
Female,125,110,Sophmore,Yes,Yes,Yes,No,Yes,3.04,Front,2,Yes,1709,15,2001,1,3,ATT,Often,24,26,Windows,110,No,NonBusiness,50,10,7,2,3589,35,0,0,Yes,6,80,3,0,Yes,4,No,47,6,Yes,No
Female,115,110,Sophmore,No,Yes,Yes,No,No,3.57,Middle,3,Yes,409,13,2002,1,5,Verizon,Rarely,25,27,Mac,102,No,NonBusiness,75,8,5,0,424.65,30,0,10,Yes,5,49,3,4,No,3,NotVote,0,4,Yes,No
Female,117,110,Sophmore,No,Yes,Yes,No,No,3.48,Middle,2,No,540,19,1998,1,5,ATT,Rarely,24,28,Windows,90,No,NonBusiness,40,7,2,0,374.16,20,0,10,No,6,22,1,6,No,3,NotVote,0,15,Yes,No
Female,103,105,Senior,No,No,No,No,No,2.7,Middle,1,No,1124,17,2002,1,3,Verizon,Rarely,26,28,Mac,90,No,NonBusiness,30,1,0,0,999,40,100,0,Yes,7,12,5,3,Yes,3,NotVote,30,6,Yes,No
Male,130,130,Junior,Yes,No,No,Yes,Yes,3.11,Middle,1,Yes,293,1,2003,1,1,Sprint,Rarely,24,27,Mac,101,No,NonBusiness,50,9,3,0,150,12,0,30,Yes,8,42,4,3,Yes,3,Yes,0,5,Yes,Yes
Female,110,105,Junior,No,Yes,No,Yes,Yes,2.87,Middle,20,Yes,969,13,1995,1,5,Verizon,Occasionally,NA,NA,Windows,100,Yes,Business,-1,7,7,0,575,30,100,30,Yes,6,87,10,10,Yes,1,No,10,7,Yes,Yes
Male,193,190,Junior,No,No,Yes,No,Yes,2.75,Front,2,No,584,17,2008,2,5,ATT,Rarely,30,35,Windows,135,No,NonBusiness,20,4,9,0,1000,25,100,0,Yes,8,32,2,4,Yes,5,Yes,0,10,Yes,Yes
Female,124,120,Junior,No,No,Yes,No,Yes,2.8,Middle,3,Yes,673,14,2003,1,5,Verizon,Rarely,30,34,Windows,105,Yes,NonBusiness,40,10,4,0,1400,25,50,10,No,7,56,8,0,Yes,3,Yes,0,15,Yes,No
Male,156,143,Junior,Yes,No,Yes,No,Yes,3.2,Middle,2,Yes,60,14,1997,5,8,USCellar,Rarely,32,33,Windows,120,Yes,NonBusiness,5,4,4,0,427,0,0,30,Yes,7,59,3,0,No,1,NotVote,12,3,No,No
Male,190,205,Junior,Yes,No,Yes,No,Yes,3.09,Front,0.5,Yes,1,11,1998,4,10,Verizon,Rarely,30,35,Mac,120,Yes,Business,25,3,2,0,400,0,50,20,Yes,8,38,2,0,No,4,NotVote,20,4,Yes,No
Female,128,120,Sophmore,Yes,Yes,Yes,Yes,Yes,2.4,Back,3,Yes,757,14,1999,2,4,Verizon,Rarely,26,28,Windows,90,No,NonBusiness,100,10,6,0,-999,50,0,0,No,7,86,4,5,No,3,NotVote,0,15,Yes,No
Male,190,190,Sophmore,Yes,No,Yes,No,No,3.73,Front,2,Yes,1,16,1999,2,3,Verizon,Rarely,30,30,Windows,95,No,NonBusiness,15,0,3,10,-999,0,0,0,Yes,7,2,1,2,No,3,NotVote,20,0,No,No
Female,116,110,Sophmore,Yes,Yes,Yes,No,Yes,3.64,Front,3,Yes,750,15,2001,2,6,Verizon,Rarely,24,28,Windows,108,Yes,NonBusiness,150,12,3,0,-999,45,0,15,Yes,6,74,5,0,Yes,3,Yes,0,4,Yes,No
